urun_id,isim,marka,kategori,tahmini_indirim,gercek_indirim,hata,dogru_mu
10207936,Loreal Paris Elseve Mucizevi Yağ Besleyici Bakım Şampuanı 300 ml,Loreal,Saç Bakım,52.28386832307157,50.0,2.283868323071573,True
10207940,Eklips Pembe Lastik Toka 15'li,Eklips,Moda & Aksesuar,24.00757489438281,22.0,2.0075748943828096,True
10207941,Eklips Mor Lastik Toka 15'li,Eklips,Moda & Aksesuar,29.27411713759097,22.0,7.27411713759097,False
10207943,Eklips Çiçekli Lastik Toka 5'li,Eklips,Moda & Aksesuar,29.325158026217128,25.2,4.125158026217129,True
10207949,Beaulis Fun Kiss Loop Ruj 209 Sour Strawberry,Beaulis,Makyaj,36.572885889821016,50.0,13.427114110178984,False
10207951,Beaulis Fun Kiss Loop Ruj 213 Sugar Creme,Beaulis,Makyaj,33.981663606430345,50.0,16.018336393569655,False
10207973,Beaulis Fun Flirsy Göz Kalemi 718 Sunny Glow,Beaulis,Makyaj,64.84165982079085,67.1,2.258340179209142,True
10207978,Beaulis Must Have It Mini Likit Parlak Ruj Seti 617 Luminous,Beaulis,Makyaj,49.260811051049714,50.0,0.7391889489502859,True
10207979,Beaulis Must Have It Mini Likit Parlak Ruj Seti 213 Shimmerly,Beaulis,Makyaj,49.260811051049714,50.0,0.7391889489502859,True
10207992,Beaulis Close It Likit Kapatıcı 650 Pink Sand,Beaulis,Makyaj,52.79626841701801,58.53333333333333,5.737064916315319,False
10208002,Beaulis Fun Miss Fluffy Blur Ruj 125 Soft Temptation,Beaulis,Makyaj,22.09286671440731,60.2,38.107133285592695,False
10208003,Beaulis Fun Miss Fluffy Blur Ruj 122 Mocha Mood,Beaulis,Makyaj,57.62741113762054,63.550000000000004,5.922588862379463,False
10208004,Beaulis Fun Miss Fluffy Blur Ruj 514 Autumn Bloom,Beaulis,Makyaj,57.563919008890025,62.43333333333334,4.869414324443312,True
10208005,Beaulis Fun Miss Fluffy Blur Ruj 515 Pink Vow,Beaulis,Makyaj,57.32378819352139,62.43333333333334,5.109545139811949,False
10208006,Beaulis Fun Miss Fluffy Blur Ruj 317 Siren Red,Beaulis,Makyaj,51.16034184559751,60.2,9.039658154402495,False
10208007,Beaulis Fun Miss Fluffy Blur Ruj 516 Dusty Desire,Beaulis,Makyaj,57.62741113762054,63.550000000000004,5.922588862379463,False
10208010,Pure Korean Cooling Göz Maskesi 30 ml (Hyaluron & Caffeine),Pure,Cilt Bakım,22.58232838789499,30.100000000000005,7.5176716121050156,False
10208012,Pure Korean Anti-Wrinkle Göz Maskesi 30 ml (Peptides Complex & Q10),Pure,Cilt Bakım,22.52018124732102,30.1,7.579818752678982,False
10208014,Pure Korean Collagen Forehead Patch Alın Maskesi,Pure,Cilt Bakım,49.941469856652496,48.3,1.641469856652499,True
10208015,Pure Korean Collagen Cheek Patch Yanak Maskesi,Pure,Cilt Bakım,56.06399502463698,60.3,4.2360049753630165,True
10208030,Loreal Paris Color Riche Dudak Kalemi 635 Worth It Medium,Loreal,Makyaj,50.156779582113685,50.1,0.05677958211368406,True
10208031,Loreal Paris Color Riche Dudak Kalemi 601 Worth It,Loreal,Makyaj,49.768866011363656,50.1,0.3311339886363456,True
10208032,Loreal Paris Color Riche Dudak Kalemi 300 Le Rouge Paris,Loreal,Makyaj,34.70931942843747,50.1,15.390680571562534,False
10208033,Loreal Paris Plump Ambition Hyaluron Lip Oil Besleyici ve Nemlendirici Dudak Parlatıcısı 601 Worth It,Loreal,Makyaj,51.128143023000895,45.1,6.028143023000894,False
10208034,Loreal Paris Plump Ambition Hyaluron Lip Oil Besleyici ve Nemlendirici Dudak Parlatıcısı 380 Rouge In Love,Loreal,Makyaj,42.33766297295918,40.1,2.2376629729591784,True
10208035,Loreal Paris Plump Ambition Hyaluron Lip Oil Besleyici ve Nemlendirici Dudak Parlatıcısı 641 Latte Glace,Loreal,Makyaj,49.08992000384669,50.06666666666666,0.9767466628199699,True
